"","name","cmnt","like","year","month","day","hour"
"182","Gabit Samigolla","Ну что сказать, красивая по всем параметрам!)",1,2016,4,22,1
"187","Gunes Asf","уау, надо заняться спортом срочно и сегодня же",2,2016,4,22,1
"192","Marat Sydykov","Тема ( , Y , ) не раскрыта )))",1,2016,4,22,1
"197","Rıdvan Tokyüz","Best...",0,2016,4,22,1
"202","Денис Потапов","И вообще - в Казахстане секса нет. Нас партия рожает.",31,2016,4,22,1
"207","Гульнара Джолымбекова","Нуротан)",6,2016,4,22,1
"212","Асет Асабаев","в нурдоме,т.е.в нурроддоме....",2,2016,4,22,4
"217","Erzhan Malkovich","а слабо всем теперь так?давайте #флешмоб девочки",12,2016,4,22,1
"222","Dauren Ashimbek","Фигура красивая, и личиком вышла. Теперь Ваше тело не стало загадкой. ""Загадка раскрыта""... Пойду искать другую ""загадку""... Впрочем, ещё загадка есть. Увидеть - это одно, прочувствовать - это другое...",0,2016,4,22,1
"229","Asel Bayandarova","Мне кажется, что мужчины не читают пост, тупо ставят Лайк на фото",17,2016,4,22,1
"234","Денис Потапов","Кстате, я не фото лайкнул - на нём тема сисек не раскрыта frown emoticon",2,2016,4,22,1
"239","Eugeniy Golovko","Я прочитал.",4,2016,4,22,1
"244","Anna Pischuhina","Наслаждаемся Вашими фото ! ))",1,2016,4,22,1
"249","Abusalim Absalyamov","ясна",0,2016,4,22,1
"254","Berik Serimov","Berik Serimov",0,2016,4,22,1
"259","Aigerim Narbaeva","Согласна с каждым написанным предложением. А фигура просто отпад 😍",4,2016,4,22,1
"264","Ереке Сахара","Какой художник рисовал?!",0,2016,4,22,1
"269","Самат Муканов","Самат Муканов",0,2016,4,22,1
"274","Алмаз Рысбаев","Вон тот бы узелок развязать. Зубами",5,2016,4,22,1
"279","Dinara Serikzhanova","Клёво! А можно в полный рост? ( в лифе) , это так мотивашка",2,2016,4,22,1
"284","Адильбек Садуакас","Не надо никаких лифов! Откинуть излишний стыд и грудью вперёд!))",1,2016,4,22,2
"289","Erzhan Malkovich","Мия Седуктионини пока вы пазлы собиарете народ вот что уже...",1,2016,4,22,1
"294","Бахыт Не Важно","Браво!!!",0,2016,4,22,1
"299","Elven Song","Elven Song Elven Song's photo.",5,2016,4,22,1
"305","Meruert Abdrakhman","Очень смело!",1,2016,4,22,1
"310","Bayahmet Zhaxybayev","Классный палас!😂",1,2016,4,22,1
"315","Rita Osipova","платок! несите скорее платок!",20,2016,4,22,1
"320","Medet Rakhimbayev","Асель, будь осторожна.  Неадекваты могут сорваться.",4,2016,4,22,1
"326","Aliya Bogembayeva","Вот-вот. Неадекват зашкаливает, единоборствами владеете? В наше время это уже маст-хэв.",1,2016,4,22,1
"331","Tacettin Erdoğan","Tacettin Erdoğan",0,2016,4,22,1
"336","Лязат Лакина","Какая Вы умница, Асель! (ну и красавица, разумеется)",8,2016,4,22,1
"341","Динара Турсунова","купальник как у меня)",1,2016,4,22,1
"346","Мурат Есембаев","Прочитал от начала и до конца )",0,2016,4,22,1
"351","Мурат Есембаев","Мурат Есембаев",0,2016,4,22,1
"356","Agadil Yesbergenov","stroinen'kaya, takaya, uyatsyz kyz! grin emoticon",2,2016,4,22,1
"361","Zhanna Aitzhanovna","Все рождаются одинаково независимо от нации ну может кто путем кесарева. У вас отличная фигура!",2,2016,4,22,1
"366","Elnara Babykova","Хороша чертовка!!! 😉😉😉",2,2016,4,22,1
"371","Nurgali Daulethojaev","Я пост прочитал, а лайк не поставил в этот раз. Лучше просто пишите, у вас это получается...",3,2016,4,22,1
"376","Askar Kopbayev","Надо было все таки бросить вызов отсутствием трусов",13,2016,4,22,1
"381","Aizhan Zhumadillayeva","Съели бы",0,2016,4,22,11
"386","Канат Бопазов","Вау!👍 Сексуальна и Шикарна!",0,2016,4,22,1
"392","Bogdan HK","В тред срочно призывается член НурОтана с платком!",0,2016,4,22,1
"397","Igor Fedorov","ващееее))))))",0,2016,4,22,1
"402","Aldanysh Mamalinova","Подписываюсь под каждым словом!",3,2016,4,22,1
"407","Адильбек Садуакас","Теперь и от вас ждём фото топлес!;)",1,2016,4,22,2
"412","Aldanysh Mamalinova","Адильбек Садуакас шутник какой😂",0,2016,4,22,2
"417","Merei Iskendirova","Вау)",0,2016,4,22,1
"422","Дастан Кадыржанов","Ойбай, попа же видно! Баюсь, баюсь )))))))))",2,2016,4,22,1
"427","Екатерина Озол","Самая красивая💋",1,2016,4,22,1
"432","Yuriy Paal","Не узнал. Думал тайский леди бой))",5,2016,4,22,1
"437","Dmitry D'Orensky","Асель! Этот пост намного лучше- он без ""плагиата"" и от души 👏👍",3,2016,4,22,1
"442","Andrey Sh","тема сисек не раскрыта !",1,2016,4,22,1
"447","Dauren Ashimbek","С меня фотосессия в жанре ""Ню"". А желательно на выставку в музей",0,2016,4,22,1
"452","Asel Yesim","Аселька, жжешь! Прогресс на лицо и всем остальном😀",1,2016,4,22,1
"457","Шынар Абдукалиева","красивая!",3,2016,4,22,1
"462","Andrew Bond","браво!",1,2016,4,22,1
"467","Asel Yesim","У тебя явно пятничное настроение:))",0,2016,4,22,1
"472","Асылбек Сарсенов","Замуж хочет))",0,2016,4,23,9
"477","Мика Хорошая","Хочу такую же фигуру 😞😞😞",5,2016,4,22,1
"482","Адильбек Садуакас","Ну так вперёд в спортзал, других способов нет",0,2016,4,22,2
"487","Мика Хорошая","Со спорт зала и так не выхожу, тяжело последние 5 кг уходят( не хотят со мной расставаться",0,2016,4,22,4
"492","Svetlana Dobrynina","👍👏👏👏",1,2016,4,22,1
"497","Askar Medetov","Богиня !",1,2016,4,22,1
"502","Venera Sultan","Офигительная!!!",2,2016,4,22,1
"507","Azamat Atantay","Пральна фсё пишиш Баяндарова! Еркексн Терешкова))",3,2016,4,22,1
"512","Renat Ahmetkaliev","Круто, смело, мощно!!!",0,2016,4,22,1
"517","Yerkin Kozha-Akhmet","ошибаетесь, многие мужчины, как и любой интеллигентный человек (к сожалению, и не очень), тоже читаю ваши посты. С чем то согласны, с чем то не совсем... Но главное, что проблемы насилия были, есть и будут всегда. И чтобы решать их, нужно изучать и рас",3,2016,4,22,1
"522","Бақытгүл Жұмағұлова","Нормуль",0,2016,4,22,1
"527","Бақытгүл Жұмағұлова","Ну что ж ты Диасик. Все же чинно и благородно)",0,2016,4,22,6
"532","Жадыра Омиргазиева","қазақ болсаң, намыс қайда?",4,2016,4,22,1
"537","Аскар Камелов","Прелесть. Все правильно, за исключением того, что на западе патриархально.",1,2016,4,22,2
"542","Ералы Оспанов","Отважно, дерзко!!!",0,2016,4,22,2
"547","Asel Bayandarova","Спасибо всем за поддержку",11,2016,4,22,2
"552","Leyli Aytzhanova","Очень смело!",0,2016,4,22,2
"557","Евгений Сергейулы Ким","Евгений Сергейулы Ким",0,2016,4,22,2
"562","Евгений Сергейулы Ким","Чотко ))",0,2016,4,22,2
"567","Nagima Murat","Фигура просто мечта😍👏👏👏",3,2016,4,22,2
"572","Адильжан Бектенов","Асель Тогжановна! Вы не только лучший пишущий в мире доктор. Но лучший селфирующийся доктор!",5,2016,4,22,2
"577","Павел Никитченко","Люблю Казашек!))",1,2016,4,22,2
"582","Tulegen Kuralbekuly Ainabekov","Если вы так афишируете свои достоинства, а что покажет ваши дети???",5,2016,4,22,2
"587","Abel Khasanov","умница!",0,2016,4,22,2
"592","Gaukhar Tass","Фигура блеск 👌 а моралистам и лицемерам нужно задуматься отчего же Казахстан становится все более привлекателен для секс туризма. Уж точно не от раскрепощенности казашек . А от экономического провала властей",6,2016,4,22,2
"597","Olga Medvedeva","Очень красивая и утонченная",2,2016,4,22,2
"602","Кайрат Байкадамов","ковер красивый",4,2016,4,22,2
"607","Куандык Жусупбеков","ага, а ленолиум вообще шикарный 😉",1,2016,4,22,6
"612","Mari Krema","Блеск по всем параметрам - и фигура хороша, но главное - столь чёткий и жёсткий ответ фарисеям ""с картинками"" like emoticon angel emoticon",4,2016,4,22,2
"617","Roman Stratiychuk","Корпешка на фото есть, значит все нормально)",14,2016,4,22,2
"622","Gunes Asf","Похожи очень на актрису сельма эргеч Gunes Asf's photo.",0,2016,4,22,2
"628","Дина Букенбаева","Баяндарова красотка!",3,2016,4,22,2
"633","Адиль Каныбек","Хоть кто-то написал проблему как есть , без маски !",5,2016,4,22,2
"638","Dana Mukanova-Dulaney","такое впечатление, что пост был предлогом для публикации этого фото... стремление доказывать свою правоту, и вообще, доказывать что-либо порождается ""плохим Я"" личности. Займитесь чем-то более достойным, Асель, не растрачивая свой ум и привлекательность на публикации на темы, вызывающие вечный и неразрешимый спор. удачи!",12,2016,4,22,2
"643","Yulia Cherkasova","Безусловно, ваши-то посты крайне высокоинтеллектуальны, и бездумно постить чужой, зачастую сомнительного содержания, контент - занятие куда более достойное, чем вскрывать язвы общества и бороться против мракобесия. Да, ещё, видимо, признак ""хорошего я""",8,2016,4,22,2
"648","Zhomart Ualiyeff","Как здесь не согласиться, фото аргумент любого казаха заставить капитулировать.",1,2016,4,22,2
"653","Marta Aizha","Вау 👍🏻",2,2016,4,22,2
"658","Damir Kulushov","👍",0,2016,4,22,2
"663","Кайрат Камерденов","Симпатичной можно дерзить. Знает себе цену.",1,2016,4,22,2
"668","Altynbek Beka","Поддерживаю ) Очень много проблем от консервативного, средневекового, патриархального мировоззрения.",9,2016,4,22,2
"673","Damir Kapezov","Смело, правдиво и красиво! Как бы волну флешмоба в стиле ню не поднять)))",5,2016,4,22,2
"678","Алексей Алексеев","Вау! Это фото достойно сохранения wink emoticon",3,2016,4,22,2
"683","Марина Миллер","Моралфаги набежали, между делом, пока из сауны в сауну ехали.",20,2016,4,22,2
"688","Botagoz Zhanbosyn","👌😆",2,2016,4,22,4
"693","Gulzhan Aydarova","Молодец! Так их всех возмущающихся! Что хочу то и делаю! Я это Я-жизнь то моя!",6,2016,4,22,2
"698","Сеилхан Шарапиев","Шторы красивые)))",0,2016,4,22,2
"703","Raushan Galieva","Смело молодец.",0,2016,4,22,2
"708","Jomart Mustafin","Длинная ладонь 🖐🏻😁",1,2016,4,22,2
"713","Айдар Каримбаев","волосы распустите пожалуста",0,2016,4,22,2
"718","Nurgul Syrgabayeva","Классная фигура, пошла приседать 30 раз;)",3,2016,4,22,2
"723","Johny Di","Чьё фото?",0,2016,4,22,2
"728","Tulegenova Gulnur","Смело, доктор! И бесспорно - красиво",1,2016,4,22,2
"733","Damir Baimoldin","За провокацией, мало кто заметил гениальную мысль про слабость жертвы.",8,2016,4,22,2
"738","Канат Молдахметов","Да красиво, но это не дело выставлять свою фигура на показ, телом и красотой женщины должен наслаждаться один мужчина а не вся соц сеть, не сомневаюсь что вы прочитали уйму книг, и у вас два диплома, и что у вас продвинутые взгляды на эту жизнь, я стар",28,2016,4,22,2
"743","Elvira Alieva","Точно",3,2016,4,22,2
"748","Beibit Serikkululi Assemkul","Да ! И я здесь не вижу казашку , испорченная отравленная девушка ,наверное еще и не говорит на своем языке(👎🏼",3,2016,4,22,3
"753","Rafael Blgaliev","Азгындык",7,2016,4,22,2
"758","Chingis Temirkhan","+",0,2016,4,22,2
"763","Марат Джумабаев","Смело))",0,2016,4,22,2
"768","Кундыз Аман","Это теперь называется смело? 😂",0,2016,4,22,3
"773","Айдар Каримбаев","Айдар Каримбаев",0,2016,4,22,2
"778","Айдар Каримбаев","Айдар Каримбаев",0,2016,4,22,2
"783","Alikhan Abdigali","Alikhan Abdigali Alikhan Abdigali's photo.",4,2016,4,22,2
"789","Vados Popandopulas","в этот раз не нашелся что сказать?:)",1,2016,4,22,2
"794","Alikhan Abdigali","Вместо тысячи слов )))",1,2016,4,22,2
"799","Karlygash Melis","Ханжество у нас в крови ...с этим трудно бороться.. а в остальном - Асель молодец!",7,2016,4,22,2
"804","Karlygash Melis","У нас много запретных тем...не только секс... вообще было бы замечательно всем глаза повыкалывать...рты зашить...и ум пытливый выколотить, а потом и проблемы..я на сохранении в институте акушерства лежала..туда поступила девочка..4 мертворожденных ребенка...ей врачи не могли делать процедуры элементарно....из за не знания ею собственной анатомии... было печально...Давайте дальше сеять Доброе и Вечное..",3,2016,4,22,2
"809","Asel Bayandarova","Найди мужчину себе, который запретит мне делать что нибудь, как замечательно. Вот зачем оказывается вы нужны, мужчины , нам женщинам",33,2016,4,22,2
"814","Gulnar Tyndybaeva","Нормального причем smile emoticon",1,2016,4,22,2
"819","Карим Кадырбаев","Нормальный мужчина нормально запретит. Нормально вломит. Нормально поставит за плиту круглосуточно готовить нормальную хавку",9,2016,4,22,2
"824","Ainura Zhamieva","Шикарная 👏👏👏",2,2016,4,22,2
"829","Marat Nurlybaev","Marat Nurlybaev",0,2016,4,22,2
"834","Мейрам Канапьянов","Пилять ))))",3,2016,4,22,2
"839","Мейрам Канапьянов","В Алматы пора))",1,2016,4,22,2
"844","Адильбек Садуакас","Нечего тебе тут делать и, кстати, она болеет за ""Кайрат ""!)))",0,2016,4,22,2
"849","Мейрам Канапьянов","Так я же сверху )))",0,2016,4,22,2
"854","Айдар Каримбаев","молодец Асель !!!! поддерживаю.",1,2016,4,22,2
"859","Kanipa Abeldinova","Очень хороший пост. А то мутит уже от этих лицемеров, ханжей.",9,2016,4,22,2
"864","Марат Какимов","Как не стыдно, ужс))))))))",1,2016,4,22,2
"869","Amanzholova Chinara","Таки ДА!!!!!",0,2016,4,22,2
"874","Aldanysh Mamalinova","Судя по комментам мужчины не поняли посыла. Все таки весна😅",2,2016,4,22,2
"879","николй митрошин","Годная",0,2016,4,22,2
"884","Галимжан Абдрасилов","Мяяяааасссаган!!! О_о",0,2016,4,22,2
"889","Roman Muha","Roman Muha",0,2016,4,22,2
"894","Diana Azimova","😱😱😱😱👌👌👌👌",1,2016,4,22,2
"899","Marat Janabay","Принимай эстафету😂",1,2016,4,22,5
"904","Diana Azimova","Marat Janabay убью 😂😂😂😂",2,2016,4,22,5
"909","Айнур Ергаламова","Казактын кыздары не болп бара жатр жаланаш фотосын койп не деген маскара",8,2016,4,22,2
"914","Arnat Boltaev","Не очень-то",1,2016,4,22,2
"919","Dariya Umitkhanqyzy","Әдемісіз! Ханшайым!",0,2016,4,22,2
"924","Azilkhan Baibatyrov","Повернись)) будь смелее😂",0,2016,4,22,2
"929","DinasRakhim","Dina Rakhim 100% подписываюсь под каждой буквой 😉",4,2016,4,22,2
"934","Milan Dukic","nice! smile emoticon",0,2016,4,22,2
"939","Oswald Cobblepot","чуть левую руку надо поднять.",0,2016,4,22,2
"944","Dmitriy Kornilov","Если нет ни настоящего, ни будущего, остаётся упиваться прошлым: духовностью, патриархальностью, ""особым путём"", нравственными ценностями, заветами отцов, подвигами героев и так далее и так далее. Что Россия этим раком болеет, что мы.",21,2016,4,22,2
"949","Ольга Абрамова","Россия как раз не болеет. Жить заветами предков и историей своей страны, это абсолютная норма.",0,2016,4,22,2
"954","Dmitriy Kornilov","Ну что ж, бывают разные представления о норме. Более больной страны, чем Россия, я не вижу. Разве что Сев.Корея - но она не больная, а мёртвая.",2,2016,4,22,3
"959","Loris Boerci","Loris Boerci",0,2016,4,22,2
"964","Куку Куку","фуууууууууууууу",1,2016,4,22,2
"969","Жанна Султанова","И красотка и умница😘👍🌺🌺🌺",3,2016,4,22,2
"974","Timur Morzhikov","Я бы сказал - скромно!",0,2016,4,22,2
"979","Ashina Ergenekon","Срочно сюда Бекболата Тлеухана! )",9,2016,4,22,2
"984","Amir Shaikezhanov","Чур-чур!",0,2016,4,22,2
"989","Tleuzhan Zhunussova","полностью с вами солидарна!",1,2016,4,22,2
"994","Жан Чингизов","Жан Чингизов",0,2016,4,22,2
"999","Sergey Bolbat","Надеюсь, я первый, кто это сделал (лень просматривать все комменты и читать нытьё моралфагов) wink emoticon Sergey Bolbat's photo.",68,2016,4,22,2
"1005","Жан Чингизов","Жан Чингизов",0,2016,4,22,2
"1010","Bauyrzhan Ongarov","Bauyrzhan Ongarov",0,2016,4,22,2
"1015","Sergey Nazarchuk","Можно спорить, но в смелости не откажешь. Молодец!",3,2016,4,22,2
"1020","Amir Shaikezhanov","Хаха, а вы молодец, согласен практически с каждым словом )))",0,2016,4,22,2
"1025","Daniyar KZ","эксгибиционизм?",0,2016,4,22,2
"1030","Dana MissLaurova","хороша чертовка",1,2016,4,22,2
"1035","Marat Nurlybaev","Асель молодец!!! Руки только отпусти пожжалуйста....)))) Девушка которая показала свое тело в соц сети и обсуждала, размеры мужского достоинства... Интересно будет понаблюдать как сложится ваша судьба дальше...))))",4,2016,4,22,2
"1040","Asem Tusupbayeva","Самым прекрасным образом!",4,2016,4,22,2
"1045","Marat Nurlybaev","Я не сомневаюсь )))",1,2016,4,22,2
"1050","Рэм Нигматулин","Отлично сказано",0,2016,4,22,2
"1055","Inna Erlenbush","Пошла читать предыдущий пост",0,2016,4,22,2
"1060","Галия Гайдарова","Так их лицемеров! Красотка!🙈🙈🙈😍😍😍😍",4,2016,4,22,2
"1065","Askar Janov","что то не пойму.. а где возмущенные? Или их комменты стираются?)",0,2016,4,22,2
"1070","Ермек Кожанов","Вы щедрый человек Асель.",1,2016,4,22,2
"1075","Руслан Бекмагамбетов","😊👍",0,2016,4,22,2
"1080","Aygul Halmuhamedova","Поддерживаю, смелая девушка и на все 100 процентов права!👋👋",1,2016,4,22,2
"1085","Maksat Tashenov","Əдемі сің сен әдемі",0,2016,4,22,2
"1090","Bauyrzhan Ongarov","Подскажите, где вы брали шкатулку как на шкафе? Хочу приобрести.",4,2016,4,22,2
"1095","Azamat Takibaev","меня тоже заинтересовало)",0,2016,4,22,2
"1100","Madina Nice","шешініп тастап бері қарап тусініз. Намыс ар кайда",3,2016,4,22,2
"1105","Самат Муканов","сколько дублей сделали, чтоб такая идеальная фотка получилась в рамках приличия? можно неудачные дубли в личку?)))",0,2016,4,22,2
"1110","Asem Tusupbayeva","Смело! Аселек так держать ✊🏻",3,2016,4,22,2
"1115","Inna Rudova","Смело!! И сказано хорошо. К сожалению, это касается не только Казахстана. Южные регионы (все!!!!!) живут по таким же ""правилам""",4,2016,4,22,2
"1120","Nurlan Mudebayev","Попка апетитная ммм😋",1,2016,4,22,2
"1125","Bauyrzhan Ongarov","Bauyrzhan Ongarov Bauyrzhan Ongarov's photo.",5,2016,4,22,2
"1131","Бекбулат Серикович Тулеубаев","Ты бы лучшее голышом было бы на что посмотреть",0,2016,4,22,2
"1136","Amir Khan","Тема сисек не раскрыта полностью smile emoticon",0,2016,4,22,2
"1141","Ali Ali","Девчонки кто согласен - даёшь флешмоб!",1,2016,4,22,2
"1146","Milka Tyler","Поржала с комментов)))). А фото зачетное )",2,2016,4,22,2
"1151","Айжан Камыспаева","келыскен екенсын😷",4,2016,4,22,2
"1156","Марина Мустажапова","Не знаю, кто вам такое говорил, но насчет наших строгих взглядов поспорила бы. Один из моих френдов со вчерашнего дня воюет с тестом, в котором вопросы о оральном сексе задали 6тиклассникам. И, знаете, половина комментаторов говорили что ни чего страшного нет.",0,2016,4,22,2
"1161","Андрей Мун","Тема не раскрыта)",1,2016,4,22,2
"1166","Лаура Алихан","Андрей Мун вы про титьки 😂🔫",1,2016,4,22,2
"1171","Андрей Мун","Не. Про сиськи))",1,2016,4,22,3
"1176","Alikonya Alenova","Обалденно!!! Я так в последний раз в 20 только выглядела ааааааааааа! smile emoticon",1,2016,4,22,2
"1181","Кристина Хашимова","Асель 👍🏻👍🏻👍🏻👍🏻 просто пример для подражания!",0,2016,4,22,2
"1186","Almas Sakpayev","хорошо написано)",2,2016,4,22,2
"1191","Тамара Ахатаева","Тамара Ахатаева",2,2016,4,22,2
"1196","Askar Utegulov","Askar Utegulov",1,2016,4,22,4
"1201","Тамара Ахатаева","Төбе шашыңыз тікірейіп кетіпті...😄",2,2016,4,22,4
"1206","Жанбахыт Исабекова","Это фото чисто личного характера а не всеобщего суждения .здесь невижу ничего красивого тело не пропорциональна с головой.видно и с головой не дружит девочка .если бы моя дочь так сделала бы прибила бы точно .где вы родители этой легкомысленной девочки что некому сказать тогда вдолбите ей ., а потом думаете почему никто не женится",13,2016,4,22,2
"1211","Ussina Marzhan","Это прекрасно! Вы нашли взаимосвязь! Это же тема диссертации прям, по социальной (не! даже гендерной!) психологии. ""Фото Асель Баяндаровой как причина отказа мужчин вступать в брак"". Гениально!",15,2016,4,22,2
"1216","Milka Tyler","Milka Tyler",0,2016,4,22,2
"1221","Гу Гу","В таком возрасте многие такие)",2,2016,4,22,2
"1226","Madina Chukachuk","👍",0,2016,4,22,2
"1231","Madina Nice","Ақыр заман деген осы шығар жерің сатылып жатыр басқа елге тілді ол өзгертпекші қыздың түрі мынау ал еркектер оған лайк қойып мəз болуда.",6,2016,4,22,2
"1236","Arman Mahambet","евпатий коловратий!!!)))",0,2016,4,22,2
"1241","Larisa Rybalovleva","Вау!!! Красотища)))",0,2016,4,22,2
"1246","Азамат Жандосов","Азамат Жандосов",0,2016,4,22,2
"1251","Anara Tleusheva","Смело!!!",1,2016,4,22,2
"1256","Margarita Rastokina","Чем старше тем ЛУЧШЕ ! И тем больше можно ))) Какая Вы красивая !",1,2016,4,22,2
"1261","Олжас Абиров","Совершенно правильно ! Все вам можно ! ))) Вы же женщина, человек, а уже потом казашка, менеджер, веган, атеист или нет .... и т д )",0,2016,4,22,2
"1266","Margarita Art","Текст и фото смелые!👍🏻",0,2016,4,22,2
"1271","Esengali Amaniyazov","Что Вы хотите этим доказать?",4,2016,4,22,2
"1276","Aliya Nurush","Зачетный пост, но на фото ничего интересного....хотя, что это у Вас на шкафу😄",0,2016,4,22,2
"1281","Нургуль Байназарова","Еее сорлы , жеткен жерин осы болса жетискен екенсин . Ел болып жер мен тилдин кайгысында журсе мына сорлы коти басын корсетип маз . 😡",10,2016,4,22,2
"1286","Ермек Кожанов","Котенида басыда кереметкой",1,2016,4,22,3
"1291","Zalmira Kemalova","Браво. Фигура хорошая. Даже очень wink emoticon",0,2016,4,22,2
"1296","Dinara Tagilbekova","Сізге қазақтын жігітіне емес орыстың жігітіне тұрмысқа шығуыныз керек.Ар,намыстан жұрдайсыз...",4,2016,4,22,2
"1301","Saida Syzdykova","Не все молодые такую фигуру имеют👍👍",4,2016,4,22,2
"1306","Мадина Исабекова","😂😂😂 мда уж",0,2016,4,22,2
"1311","Асель Талгат","Завидую вашей смелости!",0,2016,4,22,2
"1316","Гари Гари","Просто шикарна",0,2016,4,22,2
"1321","Айгуль Нурумбекова","Смело! Больше интересно читать коменты женщин, которые критикуют фигуру ))) фигура и красота это дело вкуса, они не должны всем нравиться. Девочка довольно самодостаточная и ей не особо интересно наше мнение",7,2016,4,22,2
"1326","Milka Tyler","Самодостаточным девушкам плевать на чужое мнение)))))). Остальным остается лишь обсуждать и завидовать)))",1,2016,4,22,2
"1331","Бейсебек Аканаев","Асель спасибо за комент! Теперь беги, пока не скушали, а жрать хотят многие правдолюбцы. Желаю удачного побега!",0,2016,4,22,2
"1336","Dauren Kutpanbaev","Осталось в личной жизни не промахнуть)))))",1,2016,4,22,2
"1341","Амир Абдраимов","http://youtu.be/OgVopNEfVDM Не может быть. Хорошенькая YOUTUBE.COM",0,2016,4,22,3
"1348","Амир Абдраимов","😂😂😂",0,2016,4,22,3
"1353","Dzhumagaliev Artur","Не тот ракурс.",0,2016,4,22,2
"1358","Darkhan Beisenbaev","👎🏼👎🏼👎🏼",1,2016,4,22,2
"1363","Асема Альменбаева","👍👍👍",0,2016,4,22,2
"1368","Bek Shamsi","😏",0,2016,4,22,2
"1373","Lev Mariupolskiy","Опять ұят!",0,2016,4,22,2
"1378","Gulzhazira Shakuova","Красивая фигура, тут тетки пишут сорлы морлы и ещё всякую чушь, от того что самим стыдно что либо показывать",15,2016,4,22,2
"1383","Marat Tolibayev","""Целомудрие и патриархальность возведены в смысл жизни"". Браво! Отлично сказано!",11,2016,4,22,2
"1390","Saida Taukeleva","Бравоооо!!!!",1,2016,4,22,2
"1395","Yeskendir Toibazarov","Что за игрушки на шкафу 🤔",0,2016,4,22,2
"1400","Aizhana Kasymgalieva","Смело)",0,2016,4,22,2
"1405","Karim Voin","Браво, Асель!!!",0,2016,4,22,2
"1410","Сауле Тулепбергенова","👍🏻👍🏻👍🏻👍🏻👍🏻 молодец!! И пост, и фото!",0,2016,4,22,2
"1415","Alexander Kim","Красивая, самодостаточная, современная женщина!;) Эстетическая красота ухоженности и ни капли пошлости. Хотя будь даже эта капля, она лишь придала б перчинки😉!",3,2016,4,22,2
"1420","Andrey Ch","И тут Остапа понесло!!!.... 👍🏻👍🏻👍🏻👍🏻",2,2016,4,22,2
